accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,fpr_macro,fpr_attack_positive,auc,auc_attack_positive,loss,seed,model,variant,dataset,seq_len,leakage_protocol,split_policy,record_order,training_seconds,hidden_channels,focal_gamma,dropout,learning_rate,_path,relative_path,family
0.8627993219651694,0.9242766306223391,0.510739223360064,0.48412169623115836,0.87976215988097,0.8627993219651694,0.802196063635922,0.489260776639936,4.93544168090176e-05,0.9769451114293498,0.9769451114293498,,45,xgboost,full,cic_ids2017,16,clean,default,original,733.7573567926884,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/xgboost/seed_45/metrics.json,main/cic_ids2017/xgboost/seed_45/metrics.json,main
0.8628818366350989,0.9248590351015307,0.5110265104249364,0.48469024383148995,0.8799755774697664,0.8628818366350989,0.8023852113168479,0.4889734895750636,4.661250476407218e-05,0.9705336429213381,0.9705336429213381,,46,xgboost,full,cic_ids2017,16,clean,default,original,735.3361207023263,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/xgboost/seed_46/metrics.json,main/cic_ids2017/xgboost/seed_46/metrics.json,main
0.8673352712492957,0.931306913736988,0.5268764813542633,0.51521917379684,0.8845623342642197,0.8673352712492957,0.8125472185866169,0.4731235186457367,3.2902944539345065e-05,0.9835565406913576,0.9835565406913576,,42,lightgbm,full,cic_ids2017,16,clean,default,original,431.49596639722586,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/lightgbm/seed_42/metrics.json,main/cic_ids2017/lightgbm/seed_42/metrics.json,main
0.8669061949656621,0.9313336934832187,0.525331912559591,0.51231891540285,0.884297901400145,0.8669061949656621,0.8115796579656546,0.47466808744040906,2.7419120449454223e-05,0.9823219794598479,0.9823219794598479,,43,lightgbm,full,cic_ids2017,16,clean,default,original,443.01966665685177,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/lightgbm/seed_43/metrics.json,main/cic_ids2017/lightgbm/seed_43/metrics.json,main
0.8634240758946359,0.9190541179704845,0.5131225306581558,0.4888688009761048,0.878714398396815,0.8634240758946359,0.8037482900016584,0.4868774693418441,0.00010967648179781689,0.9260862425794788,0.9260862425794788,,44,lightgbm,full,cic_ids2017,16,clean,default,original,439.08213874697685,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/lightgbm/seed_44/metrics.json,main/cic_ids2017/lightgbm/seed_44/metrics.json,main
0.8649541336313292,0.927633514292346,0.5184393977923293,0.49919821712234896,0.8820501256634349,0.8649541336313292,0.8071968799111,0.48156060220767066,5.4838240898908446e-05,0.9802433158231649,0.9802433158231649,,45,lightgbm,full,cic_ids2017,16,clean,default,original,439.7453602105379,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/lightgbm/seed_45/metrics.json,main/cic_ids2017/lightgbm/seed_45/metrics.json,main
0.8637847828803278,0.926108216172217,0.5142613479807512,0.49107194612147037,0.8808909863132752,0.8637847828803278,0.8044983565103726,0.4857386520192489,5.209632885396302e-05,0.9770086661172394,0.9770086661172394,,46,lightgbm,full,cic_ids2017,16,clean,default,original,450.06051728874445,,,,,/root/autodl-tmp/ms-ATCN/results/revision_required/main/cic_ids2017/lightgbm/seed_46/metrics.json,main/cic_ids2017/lightgbm/seed_46/metrics.json,main
0.7658573394291802,0.7930083270963542,0.7857601208514561,0.7655705383407447,0.8110453730034713,0.7658573394291802,0.7644353446924833,0.2142398791485439,0.07047913446676969,0.8870950566669977,0.8870950566669977,0.9603996000941136,42,ms_atcn,full,nsl_kdd,16,clean,default,original,334.737709634006,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/nsl_kdd/ms_atcn/seed_42/metrics.json,main/nsl_kdd/ms_atcn/seed_42/metrics.json,main
0.7644369479337743,0.7924522559641038,0.7846377646176685,0.7641090142048488,0.8106601629752723,0.7644369479337743,0.7628913650375645,0.21536223538233146,0.06944873776403915,0.8896207298075511,0.8896207298075511,0.9500335584314815,43,ms_atcn,full,nsl_kdd,16,clean,default,original,296.8313377574086,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/nsl_kdd/ms_atcn/seed_43/metrics.json,main/nsl_kdd/ms_atcn/seed_43/metrics.json,main
0.7556926627901815,0.7863276888127199,0.7767688972216249,0.7552035824913732,0.8049426598168689,0.7556926627901815,0.7536887449025119,0.223231102778375,0.07099433281813497,0.8998360316164019,0.8998360316164019,0.8971361526908505,44,ms_atcn,full,nsl_kdd,16,clean,default,original,299.0264741331339,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/nsl_kdd/ms_atcn/seed_44/metrics.json,main/nsl_kdd/ms_atcn/seed_44/metrics.json,main
0.7545829819343957,0.7858515958954814,0.7758693449910218,0.7540548341551244,0.8045815376939499,0.7545829819343957,0.7524769673701177,0.2241306550089782,0.07037609479649663,0.895444315189545,0.895444315189545,1.0480628781191537,45,ms_atcn,full,nsl_kdd,16,clean,default,original,286.3403495848179,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/nsl_kdd/ms_atcn/seed_45/metrics.json,main/nsl_kdd/ms_atcn/seed_45/metrics.json,main
0.7606640330241022,0.7893829434175819,0.7810981181279434,0.7602907790569493,0.8076746080116727,0.7606640330241022,0.7589812412351831,0.2189018818720566,0.07130345182895413,0.8998924045364453,0.8998924045364453,1.0761112682331662,46,ms_atcn,full,nsl_kdd,16,clean,default,original,304.73262686282396,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/nsl_kdd/ms_atcn/seed_46/metrics.json,main/nsl_kdd/ms_atcn/seed_46/metrics.json,main
0.748191220205069,0.7831042142758379,0.7706558462157026,0.747411140427136,0.8024699671669507,0.748191220205069,0.7454677947183715,0.22934415378429737,0.06707882534775887,0.8952406021296364,0.8952406021296364,2.2816232388619286,42,mlp,full,nsl_kdd,16,clean,default,original,91.05436599254608,64.0,2.0,0.1,0.0005,/root/autodl-tmp/ms-ATCN/results/revision_required/main/nsl_kdd/mlp/seed_42/metrics.json,main/nsl_kdd/mlp/seed_42/metrics.json,main
