model,variant,trainable_parameters,training_seconds,test_evaluation_seconds,checkpoint_bytes,peak_gpu_memory_bytes,relative_path,family,inference_batch_1_batch_size,inference_batch_1_mean_batch_latency_ms,inference_batch_1_mean_latency_ms_per_sample,inference_batch_1_throughput_samples_per_second,inference_batch_1_warmup_iterations,inference_batch_1_measurement_iterations,inference_batch_default_batch_size,inference_batch_default_mean_batch_latency_ms,inference_batch_default_mean_latency_ms_per_sample,inference_batch_default_throughput_samples_per_second,inference_batch_default_warmup_iterations,inference_batch_default_measurement_iterations,inference_conv_linear_macs_per_sample,inference_approx_conv_linear_flops_per_sample,inference_macs_scope_note,prediction_seconds,test_samples,mean_latency_ms_per_sample,throughput_samples_per_second,serialized_model_bytes,number_of_trees,total_leaves,input_dimension,training_rows
lightgbm,full,,439.7453602105379,,,,main/cic_ids2017/lightgbm/seed_45/efficiency.json,main,,,,,,,,,,,,,,,,0.535824216902256,424167.0,0.0012632388113697106,791615.9565392986,484933.0,300.0,9299.0,1248.0,1979498.0
lightgbm,full,,450.06051728874445,,,,main/cic_ids2017/lightgbm/seed_46/efficiency.json,main,,,,,,,,,,,,,,,,0.5220394432544708,424167.0,0.0012307403528668444,812519.0643750603,487845.0,300.0,9300.0,1248.0,1979498.0
ms_atcn,full,122623.0,334.737709634006,0.48932910710573196,502645.0,30874112.0,main/nsl_kdd/ms_atcn/seed_42/efficiency.json,main,1.0,1.0356176644563675,1.0356176644563675,965.6073223943467,20.0,100.0,128.0,1.019139215350151,0.007962025119923055,125596.18751989871,20.0,100.0,1870272.0,3740544.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
ms_atcn,full,122623.0,296.8313377574086,0.5069330185651779,502645.0,30874112.0,main/nsl_kdd/ms_atcn/seed_43/efficiency.json,main,1.0,1.0214044153690338,1.0214044153690338,979.0441327186742,20.0,100.0,128.0,1.0396922379732132,0.008122595609165728,123113.35539979073,20.0,100.0,1870272.0,3740544.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
ms_atcn,full,122623.0,299.0264741331339,0.5899446308612823,502645.0,30874112.0,main/nsl_kdd/ms_atcn/seed_44/efficiency.json,main,1.0,0.9872151166200637,0.9872151166200637,1012.9504534165847,20.0,100.0,128.0,1.0031312704086304,0.007836963050067425,127600.44849151057,20.0,100.0,1870272.0,3740544.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
ms_atcn,full,122623.0,286.3403495848179,0.49431927502155304,502645.0,30874112.0,main/nsl_kdd/ms_atcn/seed_45/efficiency.json,main,1.0,1.015411838889122,1.015411838889122,984.8220807569245,20.0,100.0,128.0,1.0278365761041641,0.008029973250813782,124533.41608562107,20.0,100.0,1870272.0,3740544.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
ms_atcn,full,122623.0,304.73262686282396,0.546504870057106,502645.0,30874112.0,main/nsl_kdd/ms_atcn/seed_46/efficiency.json,main,1.0,1.0163801163434982,1.0163801163434982,983.8838677773165,20.0,100.0,128.0,1.046360731124878,0.008174693211913109,122328.74972514984,20.0,100.0,1870272.0,3740544.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
mlp,full,41122.0,91.05436599254608,0.28477711975574493,168185.0,19179520.0,main/nsl_kdd/mlp/seed_42/efficiency.json,main,1.0,0.07287658751010895,0.07287658751010895,13721.828013163855,20.0,100.0,128.0,0.07967270910739899,0.0006224430399015546,1606572.7076941205,20.0,100.0,41024.0,82048.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
cnn,full,20098.0,200.14883184432983,0.32061781734228134,87861.0,20911104.0,main/nsl_kdd/cnn/seed_42/efficiency.json,main,1.0,0.21549172699451447,0.21549172699451447,4640.549379538156,20.0,100.0,128.0,0.21732687950134277,0.0016978662461042404,588974.5451354035,20.0,100.0,313472.0,626944.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
lstm,full,26754.0,186.44236904382706,0.5270210355520248,110777.0,43665408.0,main/nsl_kdd/lstm/seed_42/efficiency.json,main,1.0,0.1607811450958252,0.1607811450958252,6219.6347675220395,20.0,100.0,128.0,0.16676515340805054,0.0013028527610003948,767546.441112924,20.0,100.0,128.0,256.0,Conv1d and Linear layers only. Recurrent-cell operations are not included for LSTM/GRU.,,,,,,,,,
